Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
19,,12.3,,,13.3,,,14.4,,,15.7,,,17.1,,,18.8,,,20.7,
20,,12.2,,,13.2,,,14.3,,,15.6,,,17.0,,,18.7,,,20.6,
21,,12.2,,,13.2,,,14.3,,,15.5,,,17.0,,,18.6,,,20.5,
22,,12.2,,,13.1,,,14.2,,,15.5,,,16.9,,,18.5,,,20.4,
23,,12.2,,,13.1,,,14.2,,,15.4,,,16.9,,,18.5,,,20.4,
24 *,,12.1,,,13.1,,,14.2,,,15.4,,,16.8,,,18.4,,,20.3,
