Umur (bulan),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
53,,11.4,,,12.9,,,14.8,,,17.0,,,19.7,,,22.9,,,27.0,
54,,11.5,,,13.0,,,14.9,,,17.2,,,19.9,,,23.2,,,27.4,
55,,11.6,,,13.2,,,15.1,,,17.3,,,20.1,,,23.5,,,27.7,
56,,11.7,,,13.3,,,15.2,,,17.5,,,20.3,,,23.8,,,28.1,
57,,11.8,,,13.4,,,15.3,,,17.7,,,20.6,,,24.1,,,28.5,
58,,11.9,,,13.5,,,15.5,,,17.9,,,20.8,,,24.4,,,28.8,
59,,12.0,,,13.6,,,15.6,,,18.0,,,21.0,,,24.6,,,29.2,
60,,12.1,,,13.7,,,15.8,,,18.2,,,21.2,,,24.9,,,29.5,
